id,fw,iw,white,female,quintile,pquintile
4004,24,35.541,1,1,5,3
4006,24,46.411999,1,1,1,3
5003,33,55.202,1,0,3,2
5004,33,59.75,1,1,2,2
5005,33,61.681999,1,0,2,2
6004,33,58.097,1,1,2,5
6006,33,48.285,1,0,5,5
13003,35,64.689003,1,1,4,4
13004,35,69.302002,1,1,2,4
14003,38,64.096001,1,1,4,3
14004,38,64.517998,1,0,2,3
16003,35,64.614998,1,1,1,1
16005,35,36.667999,1,0,1,1
18003,35,64.487,1,0,1,2
18004,35,51.313,1,0,5,2
18005,35,61.400002,1,0,1,2
19003,35,64.843002,1,0,2,3
19004,35,41.400002,1,1,1,3
22003,2,4.6880002,0,1,2,2
22004,2,5.2350001,0,0,1,2
39003,35,56.487,1,1,3,2
40003,34,54.409,1,0,3,3
40004,34,58.962002,1,1,1,3
40005,34,62.417,1,1,1,3
45003,12,48.710999,1,1,3,1
47004,37,59.262001,1,1,5,2
47005,37,63.006001,1,0,4,2
50003,33,53.978001,1,0,2,4
50004,33,54.683998,1,0,2,4
50005,33,51.168999,1,1,4,4
53003,30,52.618,1,0,2,1
53004,30,48.729,1,1,2,1
53006,30,46.655998,1,1,4,1
53007,30,51.458,1,0,1,1
53008,30,48.409,1,0,1,1
53009,30,56.228001,1,0,2,1
53010,30,51.061001,1,0,1,1
57005,36,56.291,1,1,1,3
60022,38,61.912998,1,0,5,4
68003,37,59.470001,1,0,3,1
75005,32,59.415001,1,1,3,5
79003,42,77.296997,1,1,1,3
84003,17,56.083,1,0,4,4
84004,17,53.473,1,1,4,4
84005,17,54.856998,1,1,2,4
88005,36,62.042,1,0,4,5
89003,36,55.252998,1,1,4,2
89004,36,60.530998,1,1,1,2
89005,36,59.974998,1,1,3,2
89006,36,60.297001,1,1,2,2
90003,27.5,62.669998,1,1,4,5
92003,36,57.964001,1,1,3,3
96003,42,69.051003,1,1,4,5
96006,42,66.475998,1,1,2,5
117003,35,53.792999,1,0,4,4
121004,36,54.868999,1,0,4,3
121006,36,62.056,1,0,3,3
122004,17,64.208,1,0,3,1
126003,33,53.061001,1,1,2,3
128004,22,40.007999,1,0,1,3
139002,15,46.584,1,0,5,4
145003,31,52.504002,1,1,4,4
151003,34,56.342999,1,0,5,4
151006,34,55.919998,1,0,5,4
161003,26,42.146999,1,1,1,2
161004,26,47.233002,1,0,2,2
165004,34,66.699997,1,1,4,4
174005,31,49.355999,1,0,4,4
174007,31,54.215,1,0,2,4
190003,39,61.839001,1,1,5,1
190004,39,72.182999,1,1,2,1
198002,17,60.807999,1,1,4,3
198003,17,55.498001,1,0,5,3
200003,34,57.372002,1,0,1,4
200004,34,62.062,1,0,5,4
200005,34,42.388,1,1,5,4
203003,42,60.056,1,0,3,5
203004,42,67.93,1,1,5,5
203005,42,68.906998,1,1,5,5
209003,36,64.760002,1,0,3,2
214003,35,54.014,1,0,5,3
220002,34,56.262001,1,0,3,1
227003,42,68.730003,1,1,1,4
228003,42,74.106003,1,0,5,5
228005,42,65.051003,1,1,5,5
231003,32,53.648998,1,0,4,5
236003,35,51.532001,1,1,4,4
