b,o,d,race,origin,destination,prob
Yes,Lowest Quintile,Lowest Quintile,1,1,1,0.46430269
Yes,Lowest Quintile,Quintile 2,1,1,2,0.26628509
Yes,Lowest Quintile,Quintile 3,1,1,3,0.1477081
Yes,Lowest Quintile,Quintile 4,1,1,4,0.081396461
Yes,Lowest Quintile,Highest Quintile,1,1,5,0.040307634
Yes,Quintile 2,Lowest Quintile,1,2,1,0.42567196
Yes,Quintile 2,Quintile 2,1,2,2,0.2730265
Yes,Quintile 2,Quintile 3,1,2,3,0.16185467
Yes,Quintile 2,Quintile 4,1,2,4,0.092630401
Yes,Quintile 2,Highest Quintile,1,2,5,0.04681645
Yes,Quintile 3,Lowest Quintile,1,3,1,0.3854287
Yes,Quintile 3,Quintile 2,1,3,2,0.27698535
Yes,Quintile 3,Quintile 3,1,3,3,0.17686245
Yes,Quintile 3,Quintile 4,1,3,4,0.10586283
Yes,Quintile 3,Highest Quintile,1,3,5,0.054860663
Yes,Quintile 4,Lowest Quintile,1,4,1,0.39494732
Yes,Quintile 4,Quintile 2,1,4,2,0.27635393
Yes,Quintile 4,Quintile 3,1,4,3,0.17329872
Yes,Quintile 4,Quintile 4,1,4,4,0.10257716
Yes,Quintile 4,Highest Quintile,1,4,5,0.052822899
Yes,Highest Quintile,Lowest Quintile,1,5,1,0.1046304
Yes,Highest Quintile,Quintile 2,1,5,2,0.16310102
Yes,Highest Quintile,Quintile 3,1,5,3,0.22542426
Yes,Highest Quintile,Quintile 4,1,5,4,0.26932025
Yes,Highest Quintile,Highest Quintile,1,5,5,0.23752405
No,Lowest Quintile,Lowest Quintile,0,1,1,0.3169618
No,Lowest Quintile,Quintile 2,0,1,2,0.27519047
No,Lowest Quintile,Quintile 3,0,1,3,0.20224763
No,Lowest Quintile,Quintile 4,0,1,4,0.13285959
No,Lowest Quintile,Highest Quintile,0,1,5,0.07274051
No,Quintile 2,Lowest Quintile,0,2,1,0.22693312
No,Quintile 2,Quintile 2,0,2,2,0.25181201
No,Quintile 2,Quintile 3,0,2,3,0.23091075
No,Quintile 2,Quintile 4,0,2,4,0.18001606
No,Quintile 2,Highest Quintile,0,2,5,0.11032808
No,Quintile 3,Lowest Quintile,0,3,1,0.16430347
No,Quintile 3,Quintile 2,0,3,2,0.21655384
No,Quintile 3,Quintile 3,0,3,3,0.23992571
No,Quintile 3,Quintile 4,0,3,4,0.22298743
No,Quintile 3,Highest Quintile,0,3,5,0.15622956
No,Quintile 4,Lowest Quintile,0,4,1,0.098842449
No,Quintile 4,Quintile 2,0,4,2,0.15665315
No,Quintile 4,Quintile 3,0,4,3,0.22183757
No,Quintile 4,Quintile 4,0,4,4,0.27347955
No,Quintile 4,Highest Quintile,0,4,5,0.24918728
No,Highest Quintile,Lowest Quintile,0,5,1,0.046042949
No,Highest Quintile,Quintile 2,0,5,2,0.08515539
No,Highest Quintile,Quintile 3,0,5,3,0.15547
No,Highest Quintile,Quintile 4,0,5,4,0.28338298
No,Highest Quintile,Highest Quintile,0,5,5,0.42994869
