white,o,d,w,origin,destination,n
No,Lowest Quintile,Lowest Quintile,0,1,1,2735.6421
No,Lowest Quintile,Quintile 2,0,1,2,1939.874
No,Lowest Quintile,Quintile 3,0,1,3,1101.515
No,Lowest Quintile,Quintile 4,0,1,4,368.51901
No,Lowest Quintile,Highest Quintile,0,1,5,112.436
No,Quintile 2,Lowest Quintile,0,2,1,1196.467
No,Quintile 2,Quintile 2,0,2,2,858.42108
No,Quintile 2,Quintile 3,0,2,3,702.396
No,Quintile 2,Quintile 4,0,2,4,158.701
No,Quintile 2,Highest Quintile,0,2,5,61.315998
No,Quintile 3,Lowest Quintile,0,3,1,404.06601
No,Quintile 3,Quintile 2,0,3,2,290.03299
No,Quintile 3,Quintile 3,0,3,3,383.86398
No,Quintile 3,Quintile 4,0,3,4,42.088001
No,Quintile 3,Highest Quintile,0,3,5,9.3699999
No,Quintile 4,Lowest Quintile,0,4,1,21.870001
No,Quintile 4,Quintile 2,0,4,2,13.319
No,Quintile 4,Quintile 3,0,4,3,0
No,Quintile 4,Quintile 4,0,4,4,15.598
No,Quintile 4,Highest Quintile,0,4,5,0
No,Highest Quintile,Lowest Quintile,0,5,1,3.2869999
No,Highest Quintile,Quintile 2,0,5,2,2.7409999
No,Highest Quintile,Quintile 3,0,5,3,76.134995
No,Highest Quintile,Quintile 4,0,5,4,89.458
No,Highest Quintile,Highest Quintile,0,5,5,0
Yes,Lowest Quintile,Lowest Quintile,1,1,1,2570.1541
Yes,Lowest Quintile,Quintile 2,1,1,2,2360.3831
Yes,Lowest Quintile,Quintile 3,1,1,3,1418.6119
Yes,Lowest Quintile,Quintile 4,1,1,4,797.664
Yes,Lowest Quintile,Highest Quintile,1,1,5,912.39801
Yes,Quintile 2,Lowest Quintile,1,2,1,2633.2161
Yes,Quintile 2,Quintile 2,1,2,2,3395.9141
Yes,Quintile 2,Quintile 3,1,2,3,2821.927
Yes,Quintile 2,Quintile 4,1,2,4,1973.1688
Yes,Quintile 2,Highest Quintile,1,2,5,1484.7209
Yes,Quintile 3,Lowest Quintile,1,3,1,2352.248
Yes,Quintile 3,Quintile 2,1,3,2,2895.481
Yes,Quintile 3,Quintile 3,1,3,3,3165.1089
Yes,Quintile 3,Quintile 4,1,3,4,3052.0161
Yes,Quintile 3,Highest Quintile,1,3,5,2204.0681
Yes,Quintile 4,Lowest Quintile,1,4,1,1735.293
Yes,Quintile 4,Quintile 2,1,4,2,2254.364
Yes,Quintile 4,Quintile 3,1,4,3,3341.7151
Yes,Quintile 4,Quintile 4,1,4,4,4160.5439
Yes,Quintile 4,Highest Quintile,1,4,5,3946.2949
Yes,Highest Quintile,Lowest Quintile,1,5,1,993.98492
Yes,Highest Quintile,Quintile 2,1,5,2,976.65491
Yes,Highest Quintile,Quintile 3,1,5,3,1807.906
Yes,Highest Quintile,Quintile 4,1,5,4,4847.0679
Yes,Highest Quintile,Highest Quintile,1,5,5,6137.522
