white,o,d,w,origin,destination,n
No,Lowest Tercile,Lowest Tercile,0,1,1,33
No,Lowest Tercile,Middle Tercile,0,1,2,26
No,Lowest Tercile,Highest Tercile,0,1,3,3
No,Middle Tercile,Lowest Tercile,0,2,1,7
No,Middle Tercile,Middle Tercile,0,2,2,17
No,Middle Tercile,Highest Tercile,0,2,3,3
No,Highest Tercile,Lowest Tercile,0,3,1,2
No,Highest Tercile,Middle Tercile,0,3,2,1
No,Highest Tercile,Highest Tercile,0,3,3,2
Yes,Lowest Tercile,Lowest Tercile,1,1,1,58
Yes,Lowest Tercile,Middle Tercile,1,1,2,51
Yes,Lowest Tercile,Highest Tercile,1,1,3,37
Yes,Middle Tercile,Lowest Tercile,1,2,1,95
Yes,Middle Tercile,Middle Tercile,1,2,2,144
Yes,Middle Tercile,Highest Tercile,1,2,3,133
Yes,Highest Tercile,Lowest Tercile,1,3,1,71
Yes,Highest Tercile,Middle Tercile,1,3,2,136
Yes,Highest Tercile,Highest Tercile,1,3,3,404
