id,fw,iw,white,female,wealthqr,pwealthqr,wealthqn,pwealthqn,wealthtr,pwealthtr,wealthpr,pwealthpr
4004,24,35.541,1,1,4,3,5,3,3,2,93,55
4006,24,46.411999,1,1,1,3,1,3,1,2,14,55
5003,33,55.202,1,0,3,1,3,2,2,1,59,24
5004,33,59.75,1,1,2,1,2,2,2,1,40,24
5005,33,61.681999,1,0,2,1,2,2,1,1,32,24
6004,33,58.097,1,1,2,4,2,5,1,3,31,89
6006,33,48.285,1,0,4,4,5,5,3,3,98,89
13003,35,64.689003,1,1,3,3,4,4,3,2,74,63
13004,35,69.302002,1,1,2,3,2,4,2,2,34,63
14003,38,64.096001,1,1,4,2,4,3,3,2,79,50
14004,38,64.517998,1,0,2,2,2,3,1,2,26,50
16003,35,64.614998,1,1,1,1,1,1,1,1,4,8
16005,35,36.667999,1,0,1,1,1,1,1,1,5,8
18003,35,64.487,1,0,1,2,1,2,1,2,2,36
18004,35,51.313,1,0,4,2,5,2,3,2,93,36
18005,35,61.400002,1,0,1,2,1,2,1,2,11,36
19003,35,64.843002,1,0,2,3,2,3,2,2,36,56
19004,35,41.400002,1,1,1,3,1,3,1,2,19,56
22003,2,4.6880002,0,1,2,2,2,2,2,1,37,31
22004,2,5.2350001,0,0,1,2,1,2,1,1,6,31
39003,35,56.487,1,1,3,1,4,2,2,1,61,21
40003,34,54.409,1,0,2,3,3,3,2,2,50,55
40004,34,58.962002,1,1,1,3,1,3,1,2,8,55
40005,34,62.417,1,1,1,3,1,3,1,2,8,55
45003,12,48.710999,1,1,2,1,3,1,2,1,42,2
47004,37,59.262001,1,1,4,2,5,2,3,1,84,34
47005,37,63.006001,1,0,3,2,4,2,3,1,75,34
50003,33,53.978001,1,0,2,4,2,4,2,3,40,76
50004,33,54.683998,1,0,2,4,2,4,1,3,29,76
50005,33,51.168999,1,1,3,4,4,4,3,3,74,76
53003,30,52.618,1,0,2,1,2,1,2,1,40,11
53004,30,48.729,1,1,2,1,2,1,1,1,29,11
53006,30,46.655998,1,1,3,1,4,1,3,1,73,11
53007,30,51.458,1,0,1,1,1,1,1,1,16,11
53008,30,48.409,1,0,1,1,1,1,1,1,20,11
53009,30,56.228001,1,0,2,1,2,1,2,1,36,11
53010,30,51.061001,1,0,1,1,1,1,1,1,8,11
57005,36,56.291,1,1,1,3,1,3,1,2,8,55
60022,38,61.912998,1,0,4,3,5,4,3,3,88,68
68003,37,59.470001,1,0,3,1,3,1,2,1,53,6
75005,32,59.415001,1,1,2,4,3,5,2,3,45,85
79003,42,77.296997,1,1,1,2,1,3,1,2,20,50
84003,17,56.083,1,0,3,3,4,4,3,3,69,70
84004,17,53.473,1,1,4,3,4,4,3,3,78,70
84005,17,54.856998,1,1,1,3,2,4,1,3,25,70
88005,36,62.042,1,0,3,4,4,5,3,3,74,98
89003,36,55.252998,1,1,3,2,4,2,2,2,64,39
89004,36,60.530998,1,1,1,2,1,2,1,2,19,39
89005,36,59.974998,1,1,3,2,3,2,2,2,51,39
89006,36,60.297001,1,1,1,2,2,2,1,2,25,39
90003,27.5,62.669998,1,1,3,4,4,5,3,3,71,93
92003,36,57.964001,1,1,3,2,3,3,2,2,55,46
96003,42,69.051003,1,1,3,4,4,5,2,3,66,81
96006,42,66.475998,1,1,2,4,2,5,1,3,31,81
117003,35,53.792999,1,0,3,3,4,4,3,3,68,74
121004,36,54.868999,1,0,4,3,4,3,3,2,80,59
121006,36,62.056,1,0,2,3,3,3,2,2,49,59
122004,17,64.208,1,0,3,1,3,1,2,1,53,1
126003,33,53.061001,1,1,1,3,2,3,1,2,25,52
128004,22,40.007999,1,0,1,3,1,3,1,2,6,59
139002,15,46.584,1,0,4,3,5,4,3,2,91,62
145003,31,52.504002,1,1,3,3,4,4,3,3,72,69
151003,34,56.342999,1,0,4,4,5,4,3,3,99,80
151006,34,55.919998,1,0,4,4,5,4,3,3,88,80
161003,26,42.146999,1,1,1,2,1,2,1,2,2,34
161004,26,47.233002,1,0,2,2,2,2,1,2,26,34
165004,34,66.699997,1,1,4,3,4,4,3,3,80,72
174005,31,49.355999,1,0,3,3,4,4,3,3,72,72
174007,31,54.215,1,0,1,3,2,4,1,3,24,72
190003,39,61.839001,1,1,4,1,5,1,3,1,88,4
190004,39,72.182999,1,1,1,1,2,1,1,1,23,4
198002,17,60.807999,1,1,3,2,4,3,3,2,69,44
198003,17,55.498001,1,0,4,2,5,3,3,2,83,44
200003,34,57.372002,1,0,1,3,1,4,1,3,14,72
200004,34,62.062,1,0,4,3,5,4,3,3,91,72
200005,34,42.388,1,1,4,3,5,4,3,3,93,72
203003,42,60.056,1,0,2,4,3,5,2,3,49,89
203004,42,67.93,1,1,4,4,5,5,3,3,100,89
203005,42,68.906998,1,1,4,4,5,5,3,3,90,89
209003,36,64.760002,1,0,3,2,3,2,2,2,56,37
214003,35,54.014,1,0,4,3,5,4,3,2,99,61
220002,34,56.262001,1,0,3,1,3,1,2,1,60,1
227003,42,68.730003,1,1,1,3,1,4,1,3,5,74
228003,42,74.106003,1,0,4,4,5,5,3,3,87,83
228005,42,65.051003,1,1,4,4,5,5,3,3,97,83
231003,32,53.648998,1,0,3,4,4,5,3,3,69,97
236003,35,51.532001,1,1,3,4,4,4,3,3,70,78
250003,29,46.605,1,1,2,2,2,2,1,2,26,40
250004,29,47.921001,1,0,2,2,2,2,2,2,39,40
257005,32,50.707001,1,0,4,1,4,1,3,1,79,12
263005,42,93.869003,1,1,3,2,4,3,2,2,61,47
280003,31,59.576,1,0,3,3,3,4,2,3,54,67
280004,31,62.855,1,0,1,3,2,4,1,3,23,67
280006,31,51.825001,1,1,3,3,4,4,3,3,72,67
284003,36,69.320999,1,0,4,4,5,4,3,3,91,78
284004,36,60.917999,1,0,4,4,4,4,3,3,76,78
301005,42,76.363998,1,1,2,3,3,4,2,3,46,70
306003,34,51.661999,1,0,1,1,1,2,1,1,5,23
308004,17,52.799,1,0,4,4,5,4,3,3,91,79
311003,19,61.632999,1,1,1,2,2,2,1,1,23,30
315003,34,48.297001,1,0,3,3,3,4,2,2,56,61
318003,46,65.668999,1,1,2,2,3,2,2,1,43,33
